,name,longitude,latitude,time,temp,humidity,cloudiness,wind_speed
0,Chokurdakh,147.9,70.62,39600,25.71,87,100,24.73
1,Castro,-73.76,-42.48,-10800,35.6,100,0,4.7
2,Codrington,153.24,-28.95,36000,73.49,35,0,8.05
3,Inhambane,35.38,-23.87,7200,62.16,83,84,4.94
4,Qaanaaq,-69.36,77.48,-10800,32.46,96,100,8.1
5,Altay,88.13,47.83,28800,35.54,26,0,1.54
6,Chenzhou,113.03,25.81,28800,93.75,27,0,2.57
7,Dikson,80.55,73.51,25200,28.74,83,94,15.95
8,Rikitea,-134.97,-23.12,-32400,68.82,85,100,20.98
9,Acapulco,-99.88,16.86,-18000,80.6,83,40,3.36
10,Mar del Plata,-67.52,-46.43,-10800,42.13,38,38,6.89
11,Lata,78.62,30.78,19800,39.36,65,1,3.04
12,Boma,-2.17,7.08,0,70.14,99,87,2.17
13,Abu Samrah,37.18,35.3,10800,62.9,73,0,3.53
14,Jamestown,138.6,-33.21,34200,83.44,15,0,22.28
15,Bluff,149.07,-23.58,36000,73.0,57,100,17.05
16,Bansang,-14.66,13.44,0,74.13,88,0,6.93
17,Hilo,-155.08,19.71,-36000,74.34,58,20,5.82
18,Sao Miguel do Araguaia,-50.16,-13.28,-10800,78.65,51,0,2.42
19,Conselheiro Pena,-41.47,-19.17,-10800,67.6,77,77,8.5
20,Butaritari,172.79,3.07,43200,85.17,66,85,9.95
21,Hohhot,111.65,40.81,28800,68.0,56,0,2.24
22,Pisco,-76.2,-13.71,-18000,62.82,88,0,13.87
23,Chicama,-79.15,-7.84,-18000,60.8,93,90,11.41
24,Laguna,-88.94,16.17,-21600,78.8,94,40,1.19
25,Taikang,124.44,46.86,28800,62.33,68,99,18.77
26,Kapaa,-159.32,22.08,-36000,83.53,66,20,17.22
27,Vaini,74.49,15.34,19800,69.8,100,75,1.43
28,Hobart,147.33,-42.88,36000,63.72,41,0,11.41
29,Whitehorse,-135.06,60.72,-25200,50.0,66,75,17.22
30,Azle,-97.55,32.9,-18000,84.6,48,1,8.05
31,Ushuaia,-68.31,-54.81,-10800,37.4,74,40,9.17
32,Mataura,168.86,-46.19,46800,50.0,62,98,15.01
33,Albany,-73.75,42.65,-14400,69.84,94,75,12.75
34,Kodiak,-94.76,39.95,-18000,76.06,74,90,13.87
35,Mosquera,-74.23,4.71,-18000,53.6,93,75,4.7
36,Hasaki,140.83,35.73,32400,83.34,54,20,2.24
37,Turukhansk,87.96,65.8,25200,37.7,97,100,10.58
