,name,longitude,latitude,time,temp,humidity,cloudiness,wind_speed
0,Faanui,-151.75,-16.4833,-36000,82.71,64,45,5.48
1,Huarmey,-78.1522,-10.0681,-18000,78.76,62,75,11.52
2,Los Llanos de Aridane,-17.9182,28.6585,0,60.66,59,75,13.8
3,Ushuaia,-68.3,-54.8,-10800,48.2,57,40,26.46
4,Chokurdakh,147.9167,70.6333,39600,-19.34,100,81,2.39
5,Hithadhoo,73.0833,-0.6,18000,83.26,69,100,7.87
6,Punta Arenas,-70.9167,-53.15,-10800,51.4,54,40,34.52
7,Saint-Philippe,55.7679,-21.3585,14400,78.42,74,0,13.8
8,New Norfolk,147.0587,-42.7826,39600,57.18,59,90,5.75
9,Nicolás Bravo,-88.9167,18.45,-18000,81.54,61,40,11.5
10,Nizwá,57.5333,22.9333,14400,77.13,23,40,3.96
11,Olinda,-34.8553,-8.0089,-10800,82.4,61,40,12.66
12,Akonolinga,12.25,3.7667,3600,72.1,87,100,3.31
13,Codrington,141.9667,-38.2667,39600,58.75,90,100,7.52
14,Hobart,147.3294,-42.8794,39600,57.34,59,90,5.75
15,Along,94.7667,28.1667,19800,63.99,71,2,2.42
16,Albany,-73.9662,42.6001,-14400,52.93,23,0,1.01
17,Vaini,-175.2,-21.2,46800,75.2,100,40,3.44
18,Shaoxing,120.5715,30.011,28800,47.95,81,90,6.71
19,Mataura,168.8643,-46.1927,46800,53.01,95,83,3.0
20,Sarlat-la-Canéda,1.2166,44.889,3600,48.0,47,7,1.99
21,Quatre Cocos,57.7625,-20.2078,14400,79.93,89,75,12.66
22,Qaqortoq,-46.0333,60.7167,-10800,35.6,87,75,4.61
23,Dolores,-57.6792,-36.3132,-10800,64.27,89,100,9.89
24,Pathein,94.7333,16.7833,23400,73.49,81,5,8.75
25,Castro,-50.0119,-24.7911,-10800,77.27,74,69,4.85
26,Jamestown,-79.2353,42.097,-14400,51.42,21,1,1.66
27,Thompson,-97.8558,55.7435,-18000,50.0,40,20,12.66
28,São Filipe,-24.4956,14.8961,-3600,73.89,64,44,7.02
29,Provideniya,-173.3,64.3833,43200,0.7,81,100,14.52
30,Norman Wells,-126.8329,65.282,-21600,-7.6,71,75,10.36
31,Hermanus,19.2345,-34.4187,7200,60.01,84,30,5.95
32,Baiyin,104.2081,36.5583,28800,32.25,29,0,6.71
33,Butaritari,172.7902,3.0707,43200,81.48,79,6,16.98
34,Moerai,-151.3333,-22.4333,-36000,77.79,69,93,7.38
35,Conceição do Araguaia,-49.2647,-8.2578,-10800,87.57,58,71,3.11
36,Busselton,115.3333,-33.65,28800,69.98,45,0,5.39
37,Saint Paul Harbor,-152.4072,57.79,-28800,35.6,87,90,4.61
38,Neiafu,-173.9833,-18.65,46800,77.0,94,40,2.3
39,Nikolskoye,30.7861,59.7035,10800,26.53,74,90,17.9
40,Ramygala,24.3,55.5167,7200,30.2,47,0,11.5
41,Tshikapa,20.8,-6.4167,7200,78.53,78,69,2.89
42,Carutapera,-46.02,-1.195,-10800,84.4,70,40,5.84
43,Magomeni,39.25,-6.8,10800,82.4,78,20,6.91
44,Cherskiy,161.3,68.75,39600,-22.45,87,0,4.34
45,Tura,90.2201,25.5198,19800,72.97,32,0,2.44
46,Bilma,12.9164,18.6853,3600,91.2,13,3,6.24
47,Hilo,-155.09,19.7297,-36000,64.81,88,90,5.75
48,Praia,-23.5087,14.9215,-3600,75.2,57,40,18.41
49,Mar del Plata,-57.5575,-38.0023,-10800,65.7,88,90,5.75
50,Itarema,-39.9167,-2.9248,-10800,83.79,73,32,10.78
51,São Félix do Xingu,-51.995,-6.6447,-10800,86.63,58,60,4.32
52,Port Alfred,26.891,-33.5906,7200,69.69,91,14,10.09
53,Banjarmasin,114.591,-3.3244,28800,75.2,100,75,1.14
54,Richards Bay,32.0377,-28.783,7200,74.59,84,75,7.99
55,San Quintín,-115.95,30.4833,-25200,66.29,64,0,20.74
56,Waingapu,120.2641,-9.6567,28800,78.57,82,93,10.22
57,Minsk,27.5667,53.9,10800,28.2,64,75,15.66
